"Step","lux_v2_mappo_seq - collection/reward/reward_mean","lux_v2_mappo_seq - collection/reward/reward_mean__MIN","lux_v2_mappo_seq - collection/reward/reward_mean__MAX"
"0","0.07018236815929413","0.07018236815929413","0.07018236815929413"
"1","0.06080826744437218","0.06080826744437218","0.06080826744437218"
"2","0.056610412895679474","0.056610412895679474","0.056610412895679474"
"3","0.04261546954512596","0.04261546954512596","0.04261546954512596"
"4","0.06872645765542984","0.06872645765542984","0.06872645765542984"
"5","0.089084193110466","0.089084193110466","0.089084193110466"
"6","0.03972714766860008","0.03972714766860008","0.03972714766860008"
"7","0.04796910658478737","0.04796910658478737","0.04796910658478737"
"8","0.05771166458725929","0.05771166458725929","0.05771166458725929"
"9","0.07243552803993225","0.07243552803993225","0.07243552803993225"
"10","0.10201381146907806","0.10201381146907806","0.10201381146907806"
"11","0.08565293252468109","0.08565293252468109","0.08565293252468109"
"12","0.058408960700035095","0.058408960700035095","0.058408960700035095"
"13","0.037710223346948624","0.037710223346948624","0.037710223346948624"
"14","0.03548826277256012","0.03548826277256012","0.03548826277256012"
"15","0.057323962450027466","0.057323962450027466","0.057323962450027466"
"16","0.06978774815797806","0.06978774815797806","0.06978774815797806"
"17","0.0969332754611969","0.0969332754611969","0.0969332754611969"
"18","0.0527646578848362","0.0527646578848362","0.0527646578848362"
"19","0.06455770134925842","0.06455770134925842","0.06455770134925842"
"20","0.05265985429286957","0.05265985429286957","0.05265985429286957"
"21","0.06023341789841652","0.06023341789841652","0.06023341789841652"
"22","0.04753779247403145","0.04753779247403145","0.04753779247403145"
"23","0.06617005914449692","0.06617005914449692","0.06617005914449692"
"24","0.04218168184161186","0.04218168184161186","0.04218168184161186"
"25","0.056371115148067474","0.056371115148067474","0.056371115148067474"
"26","0.06815912574529648","0.06815912574529648","0.06815912574529648"
"27","0.05402912199497223","0.05402912199497223","0.05402912199497223"
"28","0.053865063935518265","0.053865063935518265","0.053865063935518265"
"29","0.06214067339897156","0.06214067339897156","0.06214067339897156"
"30","0.05285045504570007","0.05285045504570007","0.05285045504570007"
"31","0.05096302926540375","0.05096302926540375","0.05096302926540375"
"32","0.05923890694975853","0.05923890694975853","0.05923890694975853"
"33","0.07466995716094971","0.07466995716094971","0.07466995716094971"
"34","0.07855647057294846","0.07855647057294846","0.07855647057294846"
"35","0.09991662204265594","0.09991662204265594","0.09991662204265594"
"36","0.0576481930911541","0.0576481930911541","0.0576481930911541"
"37","0.06725344061851501","0.06725344061851501","0.06725344061851501"
"38","0.08295190334320068","0.08295190334320068","0.08295190334320068"
"39","0.0563102662563324","0.0563102662563324","0.0563102662563324"
"40","0.062129486352205276","0.062129486352205276","0.062129486352205276"
"41","0.09770713001489639","0.09770713001489639","0.09770713001489639"
"42","0.06864581257104874","0.06864581257104874","0.06864581257104874"
"43","0.06875930726528168","0.06875930726528168","0.06875930726528168"
"44","0.060542408376932144","0.060542408376932144","0.060542408376932144"
"45","0.05905916541814804","0.05905916541814804","0.05905916541814804"
"46","0.07351597398519516","0.07351597398519516","0.07351597398519516"
"47","0.08762151002883911","0.08762151002883911","0.08762151002883911"
"48","0.0509372241795063","0.0509372241795063","0.0509372241795063"
"49","0.05118745192885399","0.05118745192885399","0.05118745192885399"
"50","0.04672811180353165","0.04672811180353165","0.04672811180353165"
"51","0.054911572486162186","0.054911572486162186","0.054911572486162186"
"52","0.08502042293548584","0.08502042293548584","0.08502042293548584"
"53","0.0886247381567955","0.0886247381567955","0.0886247381567955"
"54","0.04580168426036835","0.04580168426036835","0.04580168426036835"
"55","0.038501251488924026","0.038501251488924026","0.038501251488924026"
"56","0.05381888523697853","0.05381888523697853","0.05381888523697853"
"57","0.049071624875068665","0.049071624875068665","0.049071624875068665"
"58","0.050852127373218536","0.050852127373218536","0.050852127373218536"
"59","0.07305855304002762","0.07305855304002762","0.07305855304002762"
